[05-Apr-2019 16:43:38 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 17
[05-Apr-2019 16:43:38 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 17
[05-Apr-2019 16:43:38 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 56
[05-Apr-2019 16:43:38 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 56
[05-Apr-2019 16:43:38 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 58
[05-Apr-2019 16:43:38 PRC] PHP Warning:  mysqli_close() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_add_topic.php on line 58
[05-Apr-2019 16:48:50 PRC] PHP Warning:  include(topic_detail.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 83
[05-Apr-2019 16:48:50 PRC] PHP Warning:  include(): Failed opening 'topic_detail.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 83
[05-Apr-2019 16:49:26 PRC] PHP Warning:  include(topic_detail.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 83
[05-Apr-2019 16:49:26 PRC] PHP Warning:  include(): Failed opening 'topic_detail.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 83
[05-Apr-2019 16:50:01 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic_detail.php on line 2
[05-Apr-2019 16:50:01 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic_detail.php on line 2
[05-Apr-2019 16:50:01 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic_detail.php on line 7
[05-Apr-2019 16:50:01 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic_detail.php on line 7
[05-Apr-2019 16:50:01 PRC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic_detail.php on line 22
[05-Apr-2019 16:50:22 PRC] PHP Warning:  include(chose_student.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 91
[05-Apr-2019 16:50:22 PRC] PHP Warning:  include(): Failed opening 'chose_student.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 91
[05-Apr-2019 16:51:28 PRC] PHP Warning:  include(chose_student.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 91
[05-Apr-2019 16:51:28 PRC] PHP Warning:  include(): Failed opening 'chose_student.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 91
[05-Apr-2019 16:51:29 PRC] PHP Warning:  include(chose_student.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 91
[05-Apr-2019 16:51:29 PRC] PHP Warning:  include(): Failed opening 'chose_student.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 91
[05-Apr-2019 16:52:33 PRC] PHP Warning:  include(review_topic.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 54
[05-Apr-2019 16:52:33 PRC] PHP Warning:  include(): Failed opening 'review_topic.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 54
[05-Apr-2019 16:52:54 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\sec_review_topic_detail.php on line 2
[05-Apr-2019 16:52:54 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\sec_review_topic_detail.php on line 2
[05-Apr-2019 16:52:54 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\sec_review_topic_detail.php on line 7
[05-Apr-2019 16:52:54 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\sec_review_topic_detail.php on line 7
[05-Apr-2019 16:52:54 PRC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\sec_review_topic_detail.php on line 22
[05-Apr-2019 17:10:03 PRC] PHP Warning:  include(../secretary_func/suggestion_detail.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 85
